procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 16183240 1002688 6226908    0    0    16 14397 10398 14204  0  1 92  7  0  0
 0  1      0 16181468 1003172 6226936    0    0     0 10781 8277 11697  1  0 95  4  0  0
 0  0      0 16188112 1003196 6227004    0    0     0   529 2872 2691  0  0 99  1  0  0
 0  0      0 16194104 1003196 6227056    0    0     0   129  921  930  0  0 100  0  0  0
 0  1      0 16197492 1003548 6227096    0    0     0  7288 8716 11436  0  0 96  3  0  0
 0  2      0 16194124 1004220 6227160    0    0     0 12456 10758 15011  1  1 92  7  0  0
 0  2      0 16195716 1004932 6227124    0    0    16 10731 12199 15731  0  0 92  8  0  0
 0  2      0 16191460 1005708 6227268    0    0     0 12116 10208 15479  1  0 92  7  0  0
 0  2      0 16194496 1006336 6227332    0    0    16 11814 12285 16982  0  0 92  7  0  0
 0  1      0 16193520 1006732 6227480    0    0     0  9193 9156 13128  0  0 95  4  0  0
 1  0      0 16199216 1006744 6227508    0    0     0   657 2460 2112  0  0 99  0  0  0
 0  0      0 16201652 1006748 6227564    0    0     0   116  950  837  0  0 100  0  0  0
 0  0      0 16204196 1006748 6227600    0    0     0     0 1493 1056  0  0 100  0  0  0
 0  0      0 16207432 1006748 6227632    0    0     0   748 1180 1246  0  0 100  0  0  0
 0  1      0 16209616 1007140 6227812    0    0     0  8475 8854 11730  0  0 96  3  0  0
 0  2      0 16206992 1007660 6227900    0    0     0  9369 10469 14909  0  0 92  7  0  0
 0  2      0 16202108 1008336 6228208    0    0     0 16694 13779 18099  0  1 92  7  0  0
 0  0      0 16204092 1008636 6228332    0    0     0 17643 11349 16428  0  1 95  4  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 16202396 1008636 6228368    0    0     0  5425 2028 1408  0  0 99  0  0  0
 0  0      0 16203524 1008636 6228420    0    0     0   538  925  924  0  0 100  0  0  0
 0  0      0 16204460 1008636 6228468    0    0     0  1856 1857 1231  0  0 100  0  0  0
 0  0      0 16198436 1008636 6228508    0    0     0     0 2969 3053  0  0 99  0  0  0
 1  0      0 16169792 1008956 6228540    0    0     0 18044 22414 27604  2  2 96  1  0  0
 2  0      0 16143588 1008968 6245876    0    0     0  8300 28214 38197  1  2 97  0  0  0
 1  0      0 16064716 1008968 6298020    0    0     0 27724 48012 89171  2  2 96  0  0  0
 0  0      0 16029192 1008968 6345624    0    0     0  2944 33070 58684  2  1 97  0  0  0
 1  0      0 16010396 1008976 6374808    0    0     0 28942 29813 47833  3  2 95  0  0  0
 2  0      0 15974308 1008996 6347416    0    0     0  3448 14643 12359  5  1 94  0  0  0
 2  0      0 15894144 1009032 6347528    0    0     0  1188 8329 4198  6  1 93  0  0  0
 3  0      0 15897624 1010144 6350504    0    0     0 11317 13723 9181  5  1 93  1  0  0
 2  0      0 15870464 1010756 6352080    0    0     0  6896 11002 6393  4  1 94  1  0  0
 0  2      0 15926880 1011272 6352948    0    0     0  8084 12903 16245  1  1 93  6  0  0
 0  1      0 15942256 1011536 6352344    0    0     0  2601 10464 15999  0  0 93  7  0  0
 0  1      0 15952912 1011788 6352424    0    0     0  3985 7131 9351  0  0 98  2  0  0
 0  0      0 15963528 1012032 6352548    0    0     0  5891 8613 9843  0  0 97  2  0  0
 0  0      0 15972620 1012040 6352596    0    0     0   127  887  898  0  0 100  0  0  0
 0  0      0 15980692 1012048 6352612    0    0     0    99 1826 1297  0  0 100  0  0  0
 0  0      0 15993524 1012048 6352664    0    0     0     0 1039  938  0  0 100  0  0  0
